id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path_x,poster_path_y,profit,ROI,year,imdb_url,poster_url
1102883,Mother Mary,0.0,0.0,Post Production,,0.0,0.0,0.0,tt27200708,en,Mother Mary,An epic pop melodrama following a fictional musician and her relationship with an iconic fashion designer.,0.286,,"Drama, Music","A24, Homebird Productions, Augenschein Filmproduktion, Topic Studios, Sailor Bear, IPR.VC","Finland, Germany, United Kingdom, United States of America",English,"Hunter Schafer, Jessica Brown Findlay, Sian Clifford, Michaela Coel, Isaura Barbé-Brown, FKA twigs, Alba Baptista, Kaia Gerber, Anne Hathaway",David Lowery,Andrew Droz Palermo,David Lowery,"Jonas Katzenstein, Jonathan Saubach, Toby Halbrooks, Jeanie Igoe, Philipp Klausing, James M. Johnston, Maximilian Leo, Michael Bloom, Ryan Heller, David Lowery",Daniel Hart,,,/dRhKx5y5o87ox0SYy1TqNdyTgd9.jpg,https://image.tmdb.org/t/p/original//oAByZ68RwF105YLW3M3Ex16DpTn.jpg,0.0,0.0,,https://www.imdb.com/title/tt27200708/,https://image.tmdb.org/t/p/w500/dRhKx5y5o87ox0SYy1TqNdyTgd9.jpg
1122096,Untitled Julia Ducournau & A24 Project,0.0,0.0,Planned,,0.0,0.0,0.0,,en,Untitled Julia Ducournau & A24 Project,An announced collaboration between celebrated director Julia Ducournau and production house A24.,1.666,,,A24,,,,Julia Ducournau,,Julia Ducournau,,,,,/sOmS7EMikR5Vg3S9s0SK0igKiWG.jpg,https://image.tmdb.org/t/p/original//sOmS7EMikR5Vg3S9s0SK0igKiWG.jpg,0.0,0.0,,,
1136867,Materialists,0.0,0.0,Post Production,2025-06-12,0.0,116.0,0.0,tt30253473,en,Materialists,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",10.7688,Some people just want more.,"Romance, Drama, Comedy","A24, Killer Films, 2AM, IPR.VC, Access Entertainment","Finland, United States of America",English,"Pedro Pascal, Lindsey Broad, Zoe Winters, Baby Rose, Marin Ireland, John Magaro, Joseph Lee, Dakota Johnson, Emmy Wheeler, Rachel Zeiger-Haag, Halley Feiffer, Alison Bartlett, Louisa Jacobson, Sietzka Rose, Madeline Wise, Chris Evans, Emiliano Díez, Dasha Nekrasova, Ian Stuart, Eddie Cahill, Dan Domenech, Sawyer Spielberg, Nedra Marie Taylor",Celine Song,Shabier Kirchner,Celine Song,"Danny Cohen, Celine Song, David Hinojosa, Timo Argillander, Andrea Scarso, Christine Vachon, Len Blavatnik, Pamela Koffler, Taylor Shung",Daniel Pemberton,,,/eDo0pNruy0Qgj6BdTyHIR4cxHY8.jpg,https://image.tmdb.org/t/p/original//fYzexePUbFENFQYaznDo0ou8kjd.jpg,0.0,0.0,2025,https://www.imdb.com/title/tt30253473/,https://image.tmdb.org/t/p/w500/eDo0pNruy0Qgj6BdTyHIR4cxHY8.jpg
1138194,Heretic,7.018,1736.0,Released,2024-10-31,51913394.0,111.0,10000000.0,tt28015403,en,Heretic,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",19.7923,Question everything.,"Horror, Thriller","A24, Beck/Woods, Shiny Penny Productions, CatchLight Studios",United States of America,English,"Hugh Grant, River Codack, Elle Young, Haylie Hansen, Carolyn Adair, Hanna Huffman, Wendy Gorling, Julie Lynn-Mortensen, Miguel Castillo, Chloe East, Stephanie Lavigne, Topher Grace, Anesha Bailey, Elle McKinnon, Sophie Thatcher","Scott Beck, Bryan Woods",Chung Chung-hoon,"Scott Beck, Bryan Woods","Scott Beck, Stacey Sher, Bryan Woods, Julia Glausi, Jeanette Volturno",,7.0,149580.0,/fr96XzlzsONrQrGfdLMiwtQjott.jpg,https://image.tmdb.org/t/p/original//2cNDzr0SzedzDh59hUz8GehU7e4.jpg,41913394.0,419.13394000000005,2024,https://www.imdb.com/title/tt28015403/,https://image.tmdb.org/t/p/w500/fr96XzlzsONrQrGfdLMiwtQjott.jpg
1139422,The Riders,0.0,0.0,Planned,,0.0,0.0,0.0,tt9148786,en,The Riders,An Australian living in Ireland embarks on a frantic search for his missing wife.,0.3269,,Drama,"Nine Hours, Scott Free Productions, Plan B Entertainment, A24","Germany, United States of America",English,Brad Pitt,Edward Berger,,"Tim Winton, David Kajganich","Edward Berger, Michael A. Pruss, David Kajganich, Dede Gardner, Jeremy Kleiner, Ridley Scott, Brad Pitt",,,,,,0.0,0.0,,https://www.imdb.com/title/tt9148786/,
1147627,Untitled Barney the Dinosaur Film,0.0,0.0,Planned,,0.0,0.0,0.0,tt11150502,en,Untitled Barney the Dinosaur Film,"Plot unknown. Feature film based on the 90s children show ""Barney.""",0.5,,,"Mattel Films, Valparaiso Pictures, 59%, A24","United States of America, United Kingdom",English,Ayo Edebiri,,,Ayo Edebiri,"Kevin McKeon, David Carrico, Robbie Brenner, Amandla Crichlow, Daniel Kaluuya, Bobby Hoppey, Rowan Riley, Adam Paulsen",,,,/mBgVLF4FQTyQVWV6sOvuxGGwdmy.jpg,,0.0,0.0,,https://www.imdb.com/title/tt11150502/,https://image.tmdb.org/t/p/w500/mBgVLF4FQTyQVWV6sOvuxGGwdmy.jpg
1151031,Bring Her Back,6.4,4.0,Released,2025-05-28,0.0,104.0,4500000.0,tt32246771,en,Bring Her Back,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",16.1974,Evil comes full circle.,Horror,"Causeway Films, RackaRacka, Salmira Productions, A24","Australia, United States of America",English,"Mischa Heywood, Ruth Natalie Fallon, Kathryn Adams, Asha O'Connell, Brian Godfrey, Jessie Prifti, Ryan Linton Brown, Nikou Javadi, Sally-Anne Upton, Vicky Liao, Billy Barratt, Frances Cassar, Brendan Bacon, Sophie Wilde, Keith Warrior, Arianny Ross, Jonah Wren Phillips, Luana Pohe, Kahran Mckenzie, Helene Philippou, Nicola Tiele, Stephen Phillips, Alexander Prifti, Olga Miller, Ben Jacobs, Elana Lipapis, Calum Scrivens, Kira Wong, Scott Mills, Nathan O'Keefe, Sally Hawkins, Bree Peters, Amya Mollison, Alina Bellchambers, Liam Damons, Sora Wong","Michael Philippou, Danny Philippou",Aaron McLisky,"Bill Hinzman, Danny Philippou","Michael Philippou, Samantha Jennings, Kristina Ceyton, Danny Philippou",Cornel Wilczek,,,/1zcH6vJs0TnCVXK7TGdTkEzR5J8.jpg,,-4500000.0,-100.0,2025,https://www.imdb.com/title/tt32246771/,https://image.tmdb.org/t/p/w500/1zcH6vJs0TnCVXK7TGdTkEzR5J8.jpg
1153714,Death of a Unicorn,6.393,257.0,Released,2025-03-27,15983827.0,107.0,15000000.0,tt28443655,en,Death of a Unicorn,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",60.3768,Payback is a beast.,"Horror, Fantasy, Comedy","A24, Square Peg, Secret Engine, Ley Line Entertainment",United States of America,English,"Téa Leoni, Will Poulter, Kathryn Erbe, Tasha Lawrence, Jessica Hynes, Anthony Carrigan, Sunita Mani, David Pasquesi, Richard E. Grant, Max Draskoczi, Narantsogt Tsogtsaikhan, Nicholas Wittman, Christine Grace Szarkó, Paul Rudd, Jenna Ortega, Steve Park, Denise Delgado",Alex Scharfman,Larry Fong,Alex Scharfman,"Ari Aster, Nate Kaimya, Alex Scharfman, Lucas Joaquin, Drew P. Houpt, Tim Headington, Lars Knudsen, Paul Rudd, Jenna Ortega, David Darby, Michael Williams, Theresa Steele Page, Tyler Campellone, Jacob Epstein","Dan Romer, Giosuè Greco",5.9,21410.0,/lXR32JepFwD1UHkplWqtBP1K79z.jpg,,983827.0,6.558846666666667,2025,https://www.imdb.com/title/tt28443655/,https://image.tmdb.org/t/p/w500/lXR32JepFwD1UHkplWqtBP1K79z.jpg
1160360,If I Had Legs I’d Kick You,6.0,1.0,Released,2025-01-24,0.0,113.0,0.0,tt18382850,en,If I Had Legs I’d Kick You,"With her life crashing down around her, Linda attempts to navigate her child's mysterious illness, her absent husband, a missing person, and an increasingly hostile relationship with her therapist.",0.9123,,"Comedy, Drama","Fat City, Bronxburgh, Elara Pictures, A24",United States of America,English,"Mary Bronstein, Amy Judd Lieberman, Rose Byrne, Mark Stolzenberg, Ronald Bronstein, Char Sidney, A$AP Rocky, Delaney Quinn, Josh Pais, Danielle Macdonald, Eva Kornet, Manu Narayan, Conan O'Brien, Ivy Wolk, Daniel Zolghadri, Ella Beatty, Helen Hong, Jodi Michelle Pynn, Lark White, Christian Slater, Laurence Blum",Mary Bronstein,Christopher Messina,Mary Bronstein,"Richie Doyle, Mary Bronstein, Ronald Bronstein, Rose Byrne, Eli Bush, Sara Murphy, Josh Safdie, Ryan Zacarias, Conor Hannon",,7.2,264.0,/4srmj7DLe3M4PsGN2RulKYOrE4q.jpg,,0.0,0.0,2025,https://www.imdb.com/title/tt18382850/,https://image.tmdb.org/t/p/w500/4srmj7DLe3M4PsGN2RulKYOrE4q.jpg
1162320,Talk 2 Me,0.0,0.0,Planned,,0.0,0.0,0.0,tt28618494,en,Talk 2 Me,"Sequel to the 2023 horror film, Talk to Me. Plot TBA.",0.468,,Horror,"A24, Causeway Films",Australia,English,,"Danny Philippou, Michael Philippou",,"Danny Philippou, Bill Hinzman","Kristina Ceyton, Samantha Jennings",,,,/2E29MakRFDXxfBvwDfYf5rJT5Kw.jpg,https://image.tmdb.org/t/p/original//2E29MakRFDXxfBvwDfYf5rJT5Kw.jpg,0.0,0.0,,https://www.imdb.com/title/tt28618494/,https://image.tmdb.org/t/p/w500/2E29MakRFDXxfBvwDfYf5rJT5Kw.jpg
